Recall,Precision
0,0
0.000121418,0.5
0.000121418,0.333333333
0.000121418,0.25
0.000121418,0.2
0.000121418,0.166666667
0.000121418,0.142857143
0.000121418,0.125
0.000121418,0.111111111
0.000121418,0.1
0.000121418,0.090909091
0.000242836,0.166666667
0.000242836,0.153846154
0.000364254,0.214285714
0.000485673,0.266666667
0.000607091,0.3125
0.000607091,0.294117647
0.000607091,0.277777778
0.000607091,0.263157895
0.000607091,0.25
0.000607091,0.238095238
0.000728509,0.272727273
0.000849927,0.304347826
0.000849927,0.291666667
0.000849927,0.28
0.000849927,0.269230769
0.000971345,0.296296296
0.000971345,0.285714286
0.000971345,0.275862069
0.000971345,0.266666667
0.000971345,0.258064516
0.000971345,0.25
0.000971345,0.242424242
0.000971345,0.235294118
0.001092763,0.257142857
0.001092763,0.25
0.001092763,0.243243243
0.001092763,0.236842105
0.001092763,0.230769231
0.001092763,0.225
0.001092763,0.219512195
0.001092763,0.214285714
0.001214182,0.23255814
0.001214182,0.227272727
0.001214182,0.222222222
0.001214182,0.217391304
0.001214182,0.212765957
0.001214182,0.208333333
0.0013356,0.224489796
0.001457018,0.24
0.001457018,0.235294118
0.001457018,0.230769231
0.001457018,0.226415094
0.001578436,0.240740741
0.001578436,0.236363636
0.001578436,0.232142857
0.001578436,0.228070175
0.001699854,0.24137931
0.001821272,0.254237288
0.001821272,0.25
0.001942691,0.262295082
0.002064109,0.274193548
0.002185527,0.285714286
0.002185527,0.28125
0.002185527,0.276923077
0.002185527,0.272727273
0.002306945,0.28358209
0.002306945,0.279411765
0.002428363,0.289855072
0.002549781,0.3
0.0026712,0.309859155
0.0026712,0.305555556
0.0026712,0.301369863
0.0026712,0.297297297
0.0026712,0.293333333
0.0026712,0.289473684
0.0026712,0.285714286
0.002792618,0.294871795
0.002914036,0.303797468
0.003035454,0.3125
0.003035454,0.308641975
0.003035454,0.304878049
0.003156872,0.313253012
0.003156872,0.30952381
0.00327829,0.317647059
0.00327829,0.313953488
0.003399709,0.32183908
0.003521127,0.329545455
0.003521127,0.325842697
0.003642545,0.333333333
0.003642545,0.32967033
0.003642545,0.326086957
0.003642545,0.322580645
0.003763963,0.329787234
0.003885381,0.336842105
0.004006799,0.34375
0.004006799,0.340206186
0.004128218,0.346938776
0.004128218,0.343434343
0.004128218,0.34
0.004128218,0.336633663
0.004128218,0.333333333
0.004249636,0.339805825
0.004249636,0.336538462
0.004371054,0.342857143
0.004492472,0.349056604
0.004492472,0.345794393
0.004492472,0.342592593
0.004492472,0.339449541
0.004492472,0.336363636
0.004492472,0.333333333
0.00461389,0.339285714
0.004735308,0.345132743
0.004735308,0.342105263
0.004856727,0.347826087
0.004856727,0.344827586
0.004856727,0.341880342
0.004856727,0.338983051
0.004978145,0.344537815
0.004978145,0.341666667
0.004978145,0.338842975
0.004978145,0.336065574
0.004978145,0.333333333
0.005099563,0.338709677
0.005099563,0.336
0.005099563,0.333333333
0.005220981,0.338582677
0.005342399,0.34375
0.005342399,0.341085271
0.005342399,0.338461538
