"","ERF056.log2FC","ERF056.padj"
"AT1G01060",0.310257204670003,0.0189182708576493
"AT1G01070",-1.25522196630019,0.0097619576471733
"AT1G01140",-0.762534321612071,1.84381710192013e-09
"AT1G01320",0.503335258897417,0.00326610844814648
"AT1G01350",0.456349505640953,0.0141996980600937
"AT1G01480",-0.87212968657468,2.8591556351594e-07
"AT1G01490",0.546682077827412,2.08554641117451e-07
"AT1G01550",-0.223929576779181,0.0419338572775408
"AT1G01610",0.769712350379596,0.00428118790810733
"AT1G01630",-0.9310925404441,3.468506966198e-06
"AT1G01640",-1.17551242277025,0.000337460558381246
"AT1G01710",-0.481457844026175,1.01184035711089e-05
"AT1G01720",-0.707766242384943,4.04663926016203e-12
"AT1G01725",-0.72213399206431,0.000113727141863508
"AT1G01730",-0.635120774669136,8.85304799686642e-05
"AT1G01750",-0.72604447172502,0.0448784255054226
"AT1G01760",-1.11832166449145,0.0019611838838604
"AT1G01770",-0.586167977635471,0.000278360843368575
"AT1G01780",-0.459242990351876,0.0377530595474515
"AT1G01790",-0.576006314272632,0.0214976122523479
"AT1G01800",-0.688690572748485,9.63378730910424e-07
"AT1G01920",0.573007595450921,0.00336782592382447
"AT1G01930",0.351520879583592,0.0433963713032866
"AT1G01990",0.603489040014569,0.020238482650594
"AT1G02030",-0.856948142346326,0.0351881626887071
"AT1G02090",0.295800686504156,0.0460210868185871
"AT1G02220",-0.551529638475971,0.0422768038494018
"AT1G02250",-1.28531264069392,0.0368739570852394
"AT1G02310",-0.412859012738987,8.68196777242316e-05
"AT1G02330",0.770746674424616,1.0735038825611e-07
"AT1G02340",2.13709260236428,0.000358831389813397
"AT1G02360",-0.693629778195918,9.20359696289403e-08
"AT1G02380",2.88726539002616,0.000772723281210071
"AT1G02400",-0.503765399513351,1.33822345246509e-06
"AT1G02430",0.581084000080762,0.0402071255912788
"AT1G02500",-0.938422378889738,5.98415950804577e-05
"AT1G02510",-1.91179096005101,0.0330412435376353
"AT1G02560",0.629020799696291,1.16806742668522e-08
"AT1G02660",-0.360968324069867,0.00658532572664525
"AT1G02720",1.10106348940285,0.0076615413393392
"AT1G02850",-0.659883650434911,1.35128700925806e-07
"AT1G02880",-0.28941501982342,0.0291898588524012
"AT1G02920",-1.09296376958166,2.80144783268402e-09
"AT1G02930",-0.915923116611062,3.87984654435676e-11
"AT1G02980",1.28048972871094,9.44612353834088e-07
"AT1G02990",0.455229769728123,0.0105575969387033
"AT1G03080",0.603539937120513,1.018102256052e-06
"AT1G03140",0.243734071701774,0.0402586415630704
"AT1G03160",0.484495272562131,0.0151445672668129
"AT1G03220",-0.24459300062127,0.0452738493348086
"AT1G03280",0.42019205026439,0.00151468846206418
"AT1G03550",0.379855511128066,0.0452400150956232
"AT1G03590",-0.275824100083653,0.00640422349178243
"AT1G03650",0.94873681911137,0.017253163602689
"AT1G03830",0.525265875556236,0.0151612646275618
"AT1G03900",-0.314226543540203,0.0375473771494844
"AT1G03990",-0.600311518573814,0.00189154773492801
"AT1G04000",-0.506368904941827,0.0268874048024206
"AT1G04050",0.846577055136133,0.0037745549786425
"AT1G04080",0.338093353488138,0.00191582827586018
"AT1G04120",-0.33381443626248,0.0111342043885173
"AT1G04160",0.834518000038209,6.20764659947951e-07
"AT1G04390",0.546304878283339,7.10720502439197e-05
"AT1G04410",-0.890601416773849,2.51499114319659e-22
"AT1G04430",-0.264223683960977,0.0336330425594883
